Date,open,high,low,close,Adj Close,Volume
2014-12-22,8255,8330.95,8228.2,8324,8324,139200
2014-12-23,8324.6,8364.75,8252.85,8267,8267,132200
2014-12-24,8272.05,8286.4,8155.25,8174.1,8174.1,221900
2014-12-26,8204.8,8234.55,8147.95,8200.7,8200.7,75500
2014-12-29,8214.7,8279.15,8214.7,8246.3,8246.3,82100
2014-12-30,8260.3,8268.25,8220.55,8248.25,8248.25,77700
2014-12-31,8243.9,8291,8243.75,8282.7,8282.7,84500
2015-01-02,8288.7,8410.6,8288.7,8395.45,8395.45,101900
2015-01-05,8407.95,8445.6,8363.9,8378.4,8378.4,118200
2015-01-06,8325.3,8327.85,8111.35,8127.35,8127.35,172800
2015-01-07,8118.65,8151.2,8065.45,8102.1,8102.1,164100
2015-01-08,8191.4,8243.5,8167.3,8234.6,8234.6,143800
2015-01-09,8285.45,8303.3,8190.8,8284.5,8284.5,148000
2015-01-12,8291.35,8332.6,8245.6,8323,8323,103200
2015-01-13,8346.15,8356.65,8267.9,8299.4,8299.4,129600
2015-01-14,8307.25,8326.45,8236.65,8277.55,8277.55,146100
2015-01-15,8424.5,8527.1,8380.55,8494.15,8494.15,232100
2015-01-16,8504.05,8530.75,8452.25,8513.8,8513.8,176000
2015-01-19,8550.05,8570.95,8531.5,8550.7,8550.7,125400
2015-01-20,8575.1,8707.9,8574.5,8695.6,8695.6,158700
2015-01-21,8719.65,8741.85,8689.6,8729.5,8729.5,185900
2015-01-22,8745.85,8774.15,8727,8761.4,8761.4,175500
2015-01-23,8827.95,8866.4,8795.4,8835.6,8835.6,191200
2015-01-27,8871.35,8925.05,8825.45,8910.5,8910.5,192000
2015-01-28,8902.75,8985.05,8874.05,8914.3,8914.3,185100
2015-01-29,8901.5,8966.65,8861.25,8952.35,8952.35,256300
2015-01-30,8996.6,8996.6,8775.1,8808.9,8808.9,267300
2015-02-02,8802.5,8840.8,8751.1,8797.4,8797.4,210100
2015-02-03,8823.15,8837.3,8726.65,8756.55,8756.55,208700
2015-02-04,8789.15,8792.85,8704.4,8723.7,8723.7,195300
2015-02-05,8733.1,8838.45,8683.65,8711.7,8711.7,173600
2015-02-06,8696.85,8726.2,8645.55,8661.05,8661.05,171300
2015-02-09,8584.4,8605.55,8516.35,8526.35,8526.35,146800
2015-02-10,8478.1,8646.25,8470.5,8565.55,8565.55,196200
2015-02-11,8603.3,8651.95,8593.65,8627.4,8627.4,161600
2015-02-12,8676.95,8732.55,8599.25,8711.55,8711.55,158800
2015-02-13,8741.5,8822.1,8729.65,8805.5,8805.5,221900
2015-02-16,8831.4,8870.1,8793.4,8809.35,8809.35,136400
2015-02-18,8811.55,8894.3,8808.9,8869.1,8869.1,147600
2015-02-19,8883.05,8913.45,8794.45,8895.3,8895.3,213300
2015-02-20,8895.5,8899.95,8816.3,8833.6,8833.6,197600
2015-02-23,8856.85,8869,8736.1,8754.95,8754.95,139600
2015-02-24,8772.9,8800.5,8726.75,8762.1,8762.1,149800
2015-02-25,8801.9,8840.65,8751.4,8767.25,8767.25,135200
2015-02-26,8779,8786.05,8669.45,8683.85,8683.85,217500
2015-02-27,8729.5,8856.95,8717.45,8844.6,8844.6,249500
2015-03-02,8953.85,8972.35,8885.45,8956.75,8956.75,218100
2015-03-03,8962.85,9008.4,8925.55,8996.25,8996.25,177800
2015-03-04,9109.15,9119.2,8893.95,8922.65,8922.65,248400
2015-03-05,8929.4,8957.55,8849.35,8937.75,8937.75,160100
2015-03-09,8891.15,8891.3,8740.45,8756.75,8756.75,155500
2015-03-10,8769.75,8778,8677.35,8712.05,8712.05,163800
2015-03-11,8728.75,8755.6,8682.35,8699.95,8699.95,172800
2015-03-12,8740.65,8787.2,8732.9,8776,8776,173900
2015-03-13,8844.05,8849.75,8631.75,8647.75,8647.75,179200
2015-03-16,8656.75,8663.55,8612,8633.15,8633.15,163300
2015-03-17,8689.1,8742.55,8630.8,8723.3,8723.3,177000
2015-03-18,8742.9,8747.25,8664,8685.9,8685.9,156400
2015-03-19,8749.45,8788.2,8614.65,8634.65,8634.65,163500
2015-03-20,8627.9,8627.9,8553,8570.9,8570.9,174600
2015-03-23,8591.55,8608.35,8540.55,8550.9,8550.9,150700
2015-03-24,8537.05,8627.75,8535.85,8542.95,8542.95,156700
2015-03-25,8568.9,8573.75,8516.55,8530.8,8530.8,161000
2015-03-26,8474.95,8499.45,8325.35,8342.15,8342.15,280100
2015-03-27,8396,8413.2,8269.15,8341.4,8341.4,193000
2015-03-30,8390.95,8492.3,8380.75,8492.3,8492.3,134700
2015-03-31,8527.6,8550.45,8454.15,8491,8491,167200
2015-04-01,8483.7,8603.4,8464.75,8586.25,8586.25,125500
2015-04-06,8615.8,8667.55,8573.75,8659.9,8659.9,146900
2015-04-07,8684.45,8693.6,8586.85,8660.3,8660.3,148700
2015-04-08,8698.95,8730.5,8679.8,8714.4,8714.4,148200
2015-04-09,8756.2,8785.5,8682.45,8778.3,8778.3,152700
2015-04-10,8774.35,8787.4,8733.6,8780.35,8780.35,139000
2015-04-13,8801.75,8841.65,8762.1,8834,8834,121600
2015-04-16,8757.05,8760,8645.65,8706.7,8706.7,142900
2015-04-17,8698.05,8699.85,8596.7,8606,8606,150400
2015-04-20,8618.8,8619.95,8422.75,8448.1,8448.1,148900
2015-04-21,8416.1,8469.35,8352.7,8377.75,8377.75,407800
2015-04-22,8400.4,8449.95,8284.7,8429.7,8429.7,171800
2015-04-23,8478.2,8504.95,8361.85,8398.3,8398.3,156000
2015-04-24,8405.7,8413.3,8273.35,8305.25,8305.25,173600
2015-04-27,8330.55,8334.45,8202.35,8213.8,8213.8,171500
2015-04-28,8215.55,8308,8185.15,8285.6,8285.6,174600
2015-04-29,8274.8,8308.2,8219.2,8239.75,8239.75,160400
2015-04-30,8224.5,8229.4,8144.75,8181.5,8181.5,267700
2015-05-04,8230.05,8346,8220.45,8331.95,8331.95,131700
2015-05-05,8338.4,8355.65,8280.6,8324.8,8324.8,155500
2015-05-06,8316.6,8331.95,8083,8097,8097,209600
2015-05-07,8077,8122.6,7997.15,8057.3,8057.3,161600
2015-05-08,8131.5,8224.95,8123.45,8191.5,8191.5,183100
2015-05-11,8243.2,8332.75,8224.65,8325.25,8325.25,192000
2015-05-12,8326.15,8326.65,8115.3,8126.95,8126.95,173400
2015-05-13,8181.55,8254.95,8089.8,8235.45,8235.45,169800
2015-05-14,8232.45,8236.25,8137.3,8224.2,8224.2,134800
2015-05-15,8240.3,8279.2,8212.2,8262.35,8262.35,129800
2015-05-18,8284.95,8384.6,8271.95,8373.65,8373.65,148700
2015-05-19,8356.2,8427.8,8335,8365.65,8365.65,140300
2015-05-20,8392.65,8440.35,8391.45,8423.25,8423.25,123600
2015-05-21,8434.5,8446.35,8382.5,8421,8421,143800
2015-05-22,8432.5,8489.55,8420.6,8458.95,8458.95,187300
2015-05-25,8438.15,8441.95,8364.15,8370.25,8370.25,121300
2015-05-26,8377.1,8378.9,8320.05,8339.35,8339.35,116800
2015-05-27,8302.75,8342.85,8277.95,8334.6,8334.6,165500
2015-05-28,8345.7,8364.5,8270.15,8319,8319,232300
2015-05-29,8327.1,8443.9,8305.7,8433.65,8433.65,363900
2015-06-01,8417.25,8467.15,8405.4,8433.4,8433.4,122200
2015-06-02,8442.8,8445.35,8226.05,8236.45,8236.45,146800
2015-06-03,8232.45,8236.7,8094.15,8135.1,8135.1,171400
2015-06-04,8155.15,8160.05,8056.75,8130.65,8130.65,154700
2015-06-05,8119.15,8191,8100.15,8114.7,8114.7,162100
2015-06-08,8124.35,8131,8030.55,8044.15,8044.15,135900
2015-06-09,8026.5,8057.15,8005.15,8022.4,8022.4,136000
2015-06-10,8024.15,8152.25,8023.8,8124.45,8124.45,136800
2015-06-11,8157.3,8163.05,7958.25,7965.35,7965.35,166200
2015-06-12,7959.85,7995.6,7940.3,7982.9,7982.9,136600
2015-06-15,7986.6,8057.7,7944.85,8013.9,8013.9,133000
2015-06-16,8004.2,8061.85,7952.35,8047.3,8047.3,124000
2015-06-17,8084.2,8136.85,8048.95,8091.55,8091.55,152500
2015-06-18,8113.7,8186.9,8101.8,8174.6,8174.6,144800
2015-06-19,8201.15,8250.8,8195.65,8224.95,8224.95,147100
2015-06-22,8259.3,8369.45,8257.4,8353.1,8353.1,122700
2015-06-23,8377.45,8398.45,8334.95,8381.55,8381.55,131700
2015-06-24,8399.4,8421.35,8338.9,8360.85,8360.85,130100
2015-06-25,8336.25,8423.15,8329.5,8398,8398,201200
2015-06-26,8393.95,8408.55,8339.7,8381.1,8381.1,110600
2015-06-29,8247.05,8329.45,8195.65,8318.4,8318.4,132000
2015-06-30,8316.35,8378,8298.95,8368.5,8368.5,158500
2015-07-01,8376.25,8481.6,8370.15,8453.05,8453.05,131800
2015-07-02,8471.95,8479.25,8433.2,8444.9,8444.9,112000
2015-07-03,8440.1,8497.75,8424.15,8484.9,8484.9,88400
2015-07-06,8386.15,8533.15,8386.15,8522.15,8522.15,101500
2015-07-07,8525.5,8561.35,8483.85,8510.8,8510.8,122200
2015-07-08,8439.2,8457.5,8341.4,8363.05,8363.05,188100
2015-07-09,8364.85,8400.3,8323,8328.55,8328.55,131300
2015-07-10,8365.7,8377.1,8315.4,8360.55,8360.55,154100
2015-07-13,8397.25,8471.65,8355.4,8459.65,8459.65,117800
2015-07-14,8470.6,8480.25,8424.1,8454.1,8454.1,101700
2015-07-15,8463.4,8531.4,8462.95,8523.8,8523.8,105500
2015-07-16,8546.15,8616.1,8542.9,8608.05,8608.05,116000
2015-07-17,8623.65,8642.95,8593.15,8609.85,8609.85,105000
2015-07-20,8623.9,8624.1,8559,8603.45,8603.45,90600
2015-07-21,8601.5,8646.75,8517.9,8529.45,8529.45,164100
2015-07-22,8512.25,8643.9,8498.65,8633.5,8633.5,136800
2015-07-23,8643.95,8654.75,8573.8,8589.8,8589.8,132900
2015-07-24,8588.15,8589.15,8513.5,8521.55,8521.55,127400
2015-07-27,8492.1,8492.2,8351.55,8361,8361,136600
2015-07-28,8371.1,8397.4,8321.75,8337,8337,174600
2015-07-29,8365.6,8381.5,8338.45,8375.05,8375.05,141000
2015-07-30,8417,8458.9,8408.3,8421.8,8421.8,215200
2015-07-31,8456.1,8548.95,8448,8532.85,8532.85,203300
2015-08-03,8510.65,8563.95,8508.1,8543.05,8543.05,156700
2015-08-04,8564.1,8565.15,8448.25,8516.9,8516.9,187400
2015-08-05,8547.45,8591.85,8545.85,8567.95,8567.95,132800
