DatetimeIndex,open,high,low,close
2017-06-16,9595.45,9615.85,9565.50,9588.05
2017-06-19,9626.40,9673.30,9614.90,9657.55
2017-06-20,9670.50,9676.50,9643.75,9653.50
2017-06-21,9648.10,9650.45,9608.60,9633.60
2017-06-22,9642.65,9698.85,9617.75,9630.00
2017-06-23,9643.25,9647.65,9565.30,9574.95
2017-06-27,9594.05,9615.40,9473.45,9511.40
2017-06-28,9520.20,9522.50,9474.35,9491.25
2017-06-29,9522.95,9575.80,9493.80,9504.10
2017-06-30,9478.50,9535.80,9448.75,9520.90
2017-07-03,9587.95,9624.00,9543.55,9615.00
2017-07-04,9645.90,9650.65,9595.50,9613.30
2017-07-05,9619.75,9643.65,9607.35,9637.60
2017-07-06,9653.60,9700.70,9639.95,9674.55
2017-07-07,9670.35,9684.25,9642.65,9665.80
2017-07-10,9719.30,9782.15,9646.45,9771.05
2017-07-11,9797.45,9830.05,9778.85,9786.05
2017-07-12,9807.30,9824.95,9787.70,9816.10
2017-07-13,9855.80,9897.25,9853.45,9891.70
2017-07-14,9913.30,9913.30,9845.45,9886.35
2017-07-17,9908.15,9928.20,9894.70,9915.95
2017-07-18,9832.70,9885.35,9792.05,9827.15
2017-07-19,9855.95,9905.05,9851.65,9899.60
2017-07-20,9920.20,9922.55,9863.45,9873.30
2017-07-21,9899.60,9924.70,9838.00,9915.25
2017-07-24,9936.80,9982.05,9919.60,9966.40
2017-07-25,10010.55,10011.30,9949.10,9964.55
2017-07-26,9983.65,10025.95,9965.95,10020.65
2017-07-27,10063.25,10114.85,10005.50,10020.55
2017-07-28,9996.55,10026.05,9944.50,10014.50
2017-07-31,10034.70,10085.90,10016.95,10077.10
2017-08-01,10101.05,10128.60,10065.75,10114.65
2017-08-02,10136.30,10137.85,10054.20,10081.50
2017-08-03,10081.15,10081.15,9998.25,10013.65
2017-08-04,10008.60,10075.25,9988.35,10066.40
2017-08-07,10074.80,10088.10,10046.35,10057.40
2017-08-08,10068.35,10083.80,9947.00,9978.55
2017-08-09,9961.15,9969.80,9893.05,9908.05
2017-08-10,9872.85,9892.65,9776.20,9820.25
2017-08-11,9712.15,9771.65,9685.55,9710.80
2017-08-14,9755.75,9818.30,9752.10,9794.15
2017-08-16,9825.85,9903.95,9773.85,9897.30
2017-08-17,9945.55,9947.80,9883.75,9904.15
2017-08-18,9865.95,9865.95,9783.65,9837.40
2017-08-21,9864.25,9884.35,9740.10,9754.35
2017-08-22,9815.75,9828.45,9752.60,9765.55
2017-08-23,9803.05,9857.90,9786.75,9852.50
2017-08-24,9881.20,9881.50,9848.85,9857.05
2017-08-28,9907.15,9925.75,9882.00,9912.80
2017-08-29,9886.40,9887.35,9783.75,9796.05
2017-08-30,9859.50,9909.45,9850.80,9884.40
2017-08-31,9905.70,9925.10,9856.95,9917.90
2017-09-01,9937.65,9983.45,9909.85,9974.40
2017-09-04,9984.15,9988.40,9861.00,9912.85
2017-09-05,9933.25,9963.10,9901.05,9952.20
2017-09-06,9899.25,9931.55,9882.55,9916.20
2017-09-07,9945.85,9964.85,9917.20,9929.90
2017-09-08,9958.65,9963.60,9913.30,9934.80
2017-09-11,9971.75,10028.65,9968.80,10006.05
2017-09-12,10056.85,10097.55,10028.05,10093.05
2017-09-13,10099.25,10131.95,10063.15,10079.30
2017-09-14,10107.40,10126.50,10070.35,10086.60
2017-09-15,10062.35,10115.15,10043.65,10085.40
2017-09-18,10133.10,10171.70,10131.30,10153.10
2017-09-19,10175.60,10178.95,10129.95,10147.55
2017-09-20,10160.95,10171.05,10134.20,10141.15
2017-09-21,10139.60,10158.90,10058.60,10121.90
2017-09-22,10094.35,10095.05,9952.80,9964.40
2017-09-25,9960.10,9960.50,9816.05,9872.60
2017-09-26,9875.25,9891.35,9813.00,9871.50
2017-09-27,9920.60,9921.05,9714.40,9735.75
2017-09-28,9736.40,9789.20,9687.55,9768.95
2017-09-29,9814.30,9854.00,9775.35,9788.60
2017-10-03,9893.30,9895.40,9831.05,9859.50
2017-10-04,9884.35,9938.30,9850.65,9914.90
2017-10-05,9927.00,9945.95,9881.85,9888.70
2017-10-06,9908.15,9989.35,9906.60,9979.70
2017-10-09,9988.20,10015.75,9959.45,9988.75
2017-10-10,10013.70,10034.00,10002.30,10016.95
2017-10-11,10042.60,10067.25,9955.80,9984.80
2017-10-12,10011.20,10104.45,9977.10,10096.40
2017-10-13,10123.70,10191.90,10120.10,10167.45
2017-10-16,10207.40,10242.95,10175.10,10230.85
2017-10-17,10227.65,10251.85,10212.60,10234.45
2017-10-18,10209.40,10236.45,10175.75,10210.85
2017-10-19,10210.35,10211.95,10123.35,10146.55
2017-10-23,10176.65,10224.15,10124.50,10184.85
2017-10-24,10218.55,10237.75,10182.40,10207.70
2017-10-25,10321.15,10340.55,10240.90,10295.35
2017-10-26,10291.80,10355.65,10271.85,10343.80
2017-10-27,10362.30,10366.15,10311.30,10323.05
2017-10-30,10353.85,10384.50,10344.30,10363.65
2017-10-31,10364.90,10367.70,10323.95,10335.30
2017-11-01,10390.35,10451.65,10383.05,10440.50
2017-11-02,10440.50,10453.00,10412.55,10423.80
2017-11-03,10461.55,10461.70,10403.60,10452.50
2017-11-06,10431.75,10490.45,10413.75,10451.80
2017-11-07,10477.15,10485.75,10340.80,10350.15
2017-11-08,10361.95,10384.25,10285.50,10303.15
2017-11-09,10358.65,10368.45,10266.95,10308.95
2017-11-10,10304.35,10344.95,10254.10,10321.75
2017-11-13,10322.00,10334.15,10216.25,10224.95
2017-11-14,10223.40,10248.00,10175.55,10186.60
